Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
65tH2GPMFCt8JtM2PM3MiX,"3vbKDsSS70ZX9D2OcvbZmS","Morning","Morning Phase","Beck",2014-01-01,319786,54,spotify:user:kelsey2701,2018-06-19T05:30:05Z,"alternative rock,anti-folk,permanent wave,rock",0.55,0.377,4,-9.933,1,0.0254,0.442,0.0955,0.126,0.261,113.608,4
6u13tCUeMafkT0KFsmvodB,"4F84IBURUo98rz4r61KF70","We're Going To Be Friends","White Blood Cells","The White Stripes",2001-07-03,142226,0,spotify:user:kelsey2701,2018-06-19T05:30:11Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.521,0.473,7,-5.353,1,0.0275,0.717,0,0.0715,0.46,97.09,4
3ctoHckjyd13eBi2IDw2Ip,"4F84IBURUo98rz4r61KF70","Seven Nation Army","Elephant","The White Stripes",2003-04-01,231800,0,spotify:user:kelsey2701,2018-06-19T05:30:16Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.75,0.462,0,-7.664,1,0.0779,0.00576,0.545,0.307,0.309,123.865,4
1JJJQYklfk5ayxyYQgD5FO,"4F84IBURUo98rz4r61KF70","Blue Orchid","Get Behind Me Satan","The White Stripes",2005-06-07,157560,0,spotify:user:kelsey2701,2018-06-19T05:30:20Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.482,0.654,10,-8.4,0,0.316,0.0825,0.0000115,0.27,0.655,151.269,4
1DH4YwHHGBkWO8dX3JISjl,"4F84IBURUo98rz4r61KF70","The Hardest Button To Button","Elephant","The White Stripes",2003-04-01,212266,0,spotify:user:kelsey2701,2018-06-19T05:30:25Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.693,0.539,7,-8.366,1,0.0796,0.00846,0.377,0.0953,0.535,128.414,4
6sY5KdLa5DksdV52wPKpB7,"3vbKDsSS70ZX9D2OcvbZmS","Little One","Sea Change","Beck",2002-01-01,266893,36,spotify:user:kelsey2701,2018-06-19T05:30:29Z,"alternative rock,anti-folk,permanent wave,rock",0.216,0.554,9,-7.606,1,0.0315,0.29,0.0001,0.116,0.113,166.581,4
3wY7IAz9c0fhq3fn83vV8r,"48vDIufGC8ujPuBiTxY8dm","Head Above The Water","Chase The Light","Palace",2015-06-08,266365,42,spotify:user:kelsey2701,2018-06-19T05:30:40Z,"english indie rock",0.362,0.599,7,-8.333,0,0.0297,0.00668,0.0129,0.101,0.409,110.779,4
0oWO6fBIJYr9YSGtZ0pS4v,"0IgqyBnmTWYYN4e8IjLb41","Roses","Roses","Deon Custom",2015-06-19,220987,0,spotify:user:kelsey2701,2018-06-19T05:30:53Z,"future bass,gaming edm",0.427,0.903,11,-4.935,0,0.0378,0.00341,0.744,0.112,0.166,138.545,4
5ZrrXIYTvjXPKVQMjqaumR,"57dN52uHvrHOxijzpIgu3E","Loud Pipes","Classics","Ratatat",2006-08-22,226533,0,spotify:user:kelsey2701,2018-06-19T05:30:58Z,"brooklyn indie,indietronica",0.718,0.703,7,-7.162,0,0.0382,0.109,0.822,0.208,0.858,87.975,4
71cUqXJ3h1r0Ees6YdENLU,"39vA9YljbnOApXKniLWBZv","Coffee","Sylvan Esso","Sylvan Esso",2014-05-13,269693,0,spotify:user:kelsey2701,2018-06-19T05:31:02Z,"art pop,chamber pop,etherpop,indie pop,indie rock,indietronica,shimmer pop",0.457,0.455,0,-8.112,1,0.188,0.348,0.00122,0.142,0.163,100.049,4
44DnIGEvTlhDkGv3xLSDcp,"75dQReiBOHN37fQgWQrIAJ","Wide Eyes","Gorilla Manor","Local Natives",2010-02-16,266053,52,spotify:user:kelsey2701,2018-06-19T05:31:07Z,"chamber pop,indie rock,la indie,modern rock,shimmer pop,stomp and holler",0.528,0.86,11,-8.033,0,0.0397,0.00131,0.25,0.251,0.49,123.12,4
0kPWjVyvas9lc4oXakOiBj,"1fg65Qx6tRt0aXBfz5I4w5","Swing Tree","LP","Discovery",2009-07-06,158133,0,spotify:user:kelsey2701,2018-06-19T05:31:11Z,"chillwave,indietronica",0.679,0.77,5,-7.673,1,0.111,0.0417,0.0527,0.124,0.843,184.047,4
6qsArsTq6WoqtUFUe1e15W,"75dQReiBOHN37fQgWQrIAJ","Airplanes","Gorilla Manor","Local Natives",2010-02-16,237933,43,spotify:user:kelsey2701,2018-06-19T05:31:17Z,"chamber pop,indie rock,la indie,modern rock,shimmer pop,stomp and holler",0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,0.591,95.971,4
1iw4yy8dDH9TcSEcOEWVnO,"59pWgeY26Q6yJy37QvJflh","Rill Rill","Treats","Sleigh Bells",2010-05-21,229893,0,spotify:user:kelsey2701,2018-06-19T05:31:22Z,"brooklyn indie,dance-punk,experimental pop,hyper-rock,indie rock,indie surf,indietronica,neo-synthpop,noise pop,shimmer pop",0.483,0.804,8,-3.452,1,0.0501,0.0356,0.0000016,0.0736,0.811,73.048,4
0mBkoM8r7KAQzZij5swTUL,"67hb7towEyKvt5Z8Bx306c","Walking On A Dream","Walking On A Dream","Empire Of The Sun",2009-02-23,198440,59,spotify:user:kelsey2701,2018-06-19T05:31:28Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.87,0.699,5,-5.541,0,0.0459,0.245,0.00000676,0.0588,0.726,126.967,4
5n0CTysih20NYdT2S0Wpe8,"26T3LtbuGT1Fu9m0eRq5X3","Trouble","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,225973,75,spotify:user:kelsey2701,2018-06-19T05:31:34Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock",0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
2HP3ePEj4jFOAwxdpwT1xb,"10tysauSA5JATqniBDu2Ed","Fools","Visiter","The Dodos",2008-03-18,282633,32,spotify:user:kelsey2701,2018-06-19T05:31:38Z,"bay area indie,chamber pop,indie rock,stomp and holler",0.214,0.923,1,-7.226,1,0.0537,0.266,0.028,0.138,0.59,199.735,3
4vEA24tm00dXFUfvhtSsKd,"7J83bR60mesX4UDSvkmrvk","Zlatan","Yunited EP","Sanjin & Youthman",2013-05-31,206560,42,spotify:user:kelsey2701,2018-06-19T05:31:53Z,"",0.699,0.821,5,-4.682,1,0.0482,0.179,0,0.179,0.725,105.023,4
61brtUJwrAQjyZjWpMBRXf,"1dWEYMPtNmvSVaDNLgB6NV","Move","Move","Saint Motel",2016-08-12,189466,45,spotify:user:kelsey2701,2018-06-19T05:31:57Z,"la indie,modern alternative rock,modern rock,pov: indie",0.638,0.817,10,-5.021,0,0.0636,0.0179,0,0.338,0.716,101.028,4
7wZorJD5loL9ceLJ67sg6S,"60d24wfXkVzDSfLS6hyCjZ,7HKKVg8EvYKCjwzOLhnujL","Now That I've Found You (feat. John & Michel)","Now That I've Found You (feat. John & Michel)","Martin Garrix,John & Michel",2016-03-11,192631,0,spotify:user:kelsey2701,2018-06-19T05:32:01Z,"dutch edm,edm,pop,pop dance,progressive house",0.495,0.831,5,-5.812,0,0.0319,0.021,0.0000479,0.495,0.414,128.064,5
4huIvpXJF0dOgA2P4cyeHL,"0L1f9i3L3fkMNENljDOsjG","Sto bene così","SignorHunt - Wake Up Edition","Rocco Hunt",2016-03-04,196813,37,spotify:user:kelsey2701,2018-06-19T05:32:06Z,"italian adult pop,italian hip hop,italian pop,pop virale italiano,rap napoletano",0.704,0.898,2,-3.455,1,0.0448,0.00916,0.00000121,0.342,0.169,100.004,4
