Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.816,0.516,60719,0.254,0.855,9,0.189,-16.027,0,0.0589,56.829,4,0.304,0,hotline (edit),Billie Eilish
0.83,0.412,281380,0.236,0.00653,4,0.147,-15.159,0,0.0379,140.214,4,0.119,0,TV,Billie Eilish
0.929,0.387,216448,0.135,0.0,7,0.0948,-14.398,1,0.051,82.987,4,0.21,0,The 30th,Billie Eilish
0.0468,0.334,151444,0.599,0.000392,0,0.205,-5.742,1,0.0365,161.74,3,0.127,0,Happier Than Ever - Edit,Billie Eilish
0.222,0.895,196730,0.389,0.0346,7,0.105,-11.036,0,0.11,110.023,4,0.549,0,Billie Bossa Nova,Billie Eilish
0.974,0.599,244221,0.128,0.121,10,0.115,-17.261,1,0.109,159.679,4,0.367,0,Getting Older,Billie Eilish
0.961,0.403,234761,0.159,0.0121,1,0.34,-16.728,0,0.104,72.38,4,0.0381,0,Halley's Comet,Billie Eilish
0.917,0.38,242265,0.219,0.0104,4,0.0827,-13.273,0,0.0358,73.537,4,0.0517,0,No Time To Die,Billie Eilish
0.767,0.332,298899,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297,0,Happier Than Ever,Billie Eilish
0.863,0.687,194886,0.288,0.0,2,0.0986,-10.415,1,0.045,110.927,4,0.308,0,Male Fantasy,Billie Eilish
0.612,0.849,158463,0.48,0.269,9,0.295,-5.835,1,0.226,142.021,4,0.677,0,I Didn't Change My Number,Billie Eilish
0.814,0.456,210005,0.285,0.143,8,0.307,-10.755,1,0.0979,104.89,4,0.0809,0,my future,Billie Eilish
0.0904,0.757,210232,0.598,0.551,11,0.15,-7.777,1,0.058,124.951,4,0.18,0,Oxytocin,Billie Eilish
0.755,0.654,151536,0.303,0.159,5,0.0957,-13.943,0,0.126,160.095,4,0.168,0,GOLDWING,Billie Eilish
0.702,0.526,212496,0.334,0.00782,10,0.0586,-8.491,0,0.251,74.966,4,0.522,0,Lost Cause,Billie Eilish
0.454,0.468,227679,0.13,0.927,1,0.0819,-18.031,1,0.0571,115.039,4,0.0362,0,Not My Responsibility,Billie Eilish
